Department,JobTitle,Salary,Qualification,Company,City,Experience
Consulting,IT Consultant,1263774,Certified IT Consultant,Deloitte,Hyderabad,16
Consulting,IT Consultant,1058029,Bachelor's Degree in IT Consulting,Accenture,Hyderabad,10
Consulting,IT Consultant,1257272,Certified IT Consultant,Deloitte,Pune,9
Consulting,Management Consultant,1153032,Certified Management Consultant (CMC),Deloitte,Chennai,17
Consulting,IT Consultant,1477849,Certified IT Consultant,Bain & Company,Pune,6
Consulting,IT Consultant,1185476,Bachelor's Degree in IT Consulting,The Boston Consulting Group (BCG),Delhi,13
Consulting,IT Consultant,1195889,Bachelor's Degree in IT Consulting,Bain & Company,Bangalore,14
Consulting,Management Consultant,1380856,Certified Management Consultant (CMC),Bain & Company,Hyderabad,19
Consulting,Strategy Consultant,1146673,Bachelor's Degree in Strategy Consulting,McKinsey & Company,Hyderabad,15
Consulting,Strategy Consultant,1274177,Bachelor's Degree in Strategy Consulting,McKinsey & Company,Ahmedabad,4
Consulting,IT Consultant,1241336,Certified IT Consultant,McKinsey & Company,Bangalore,9
Consulting,Management Consultant,1295976,Certified Management Consultant (CMC),Accenture,Kolkata,20
Consulting,Management Consultant,1144624,Certified Management Consultant (CMC),Accenture,Jaipur,6
Consulting,Management Consultant,870289,Bachelor's Degree in Business Consulting,Accenture,Mumbai,8
Consulting,Strategy Consultant,898046,Certified Strategy Consultant,Bain & Company,Jaipur,1
Consulting,Strategy Consultant,1093539,Bachelor's Degree in Strategy Consulting,Bain & Company,Mumbai,14
Consulting,Management Consultant,906075,Certified Management Consultant (CMC),Accenture,Jaipur,17
Consulting,Strategy Consultant,926209,Certified Strategy Consultant,Deloitte,Ahmedabad,19
Consulting,IT Consultant,1274199,Bachelor's Degree in IT Consulting,The Boston Consulting Group (BCG),Mumbai,6
Consulting,IT Consultant,1435600,Certified IT Consultant,Bain & Company,Chennai,13
Consulting,Management Consultant,853331,Bachelor's Degree in Business Consulting,The Boston Consulting Group (BCG),Chennai,17
Consulting,Strategy Consultant,1372803,Bachelor's Degree in Strategy Consulting,McKinsey & Company,Chennai,10
Consulting,Management Consultant,942241,Bachelor's Degree in Business Consulting,Bain & Company,Hyderabad,3
Consulting,Strategy Consultant,1027714,Bachelor's Degree in Strategy Consulting,The Boston Consulting Group (BCG),Bangalore,10
Consulting,Management Consultant,752850,Bachelor's Degree in Business Consulting,The Boston Consulting Group (BCG),Ahmedabad,0
Consulting,Strategy Consultant,727026,Certified Strategy Consultant,Accenture,Hyderabad,5
Consulting,Strategy Consultant,1108655,Certified Strategy Consultant,Deloitte,Mumbai,7
Consulting,Management Consultant,1150272,Certified Management Consultant (CMC),Deloitte,Bangalore,16
Consulting,IT Consultant,1569582,Certified IT Consultant,Deloitte,Ahmedabad,5
Consulting,Management Consultant,959658,Certified Management Consultant (CMC),McKinsey & Company,Jaipur,2
Consulting,Management Consultant,782205,Bachelor's Degree in Business Consulting,Accenture,Delhi,15
Consulting,Management Consultant,1200054,Bachelor's Degree in Business Consulting,The Boston Consulting Group (BCG),Ahmedabad,16
Consulting,IT Consultant,1188434,Bachelor's Degree in IT Consulting,Deloitte,Jaipur,0
Consulting,Strategy Consultant,1220195,Bachelor's Degree in Strategy Consulting,Accenture,Lucknow,6
Consulting,Management Consultant,848975,Certified Management Consultant (CMC),Deloitte,Jaipur,19
Consulting,Management Consultant,1312592,Bachelor's Degree in Business Consulting,The Boston Consulting Group (BCG),Lucknow,14
Consulting,Strategy Consultant,870181,Bachelor's Degree in Strategy Consulting,McKinsey & Company,Bangalore,17
Consulting,Management Consultant,914787,Certified Management Consultant (CMC),McKinsey & Company,Jaipur,6
Customer Service,Customer Service Representative,497420,High School Diploma,HGS,Hyderabad,6
Customer Service,Customer Success Manager,984670,Certification in Customer Success,Sitel,Lucknow,3
Customer Service,Customer Service Representative,414598,High School Diploma,WNS Global Services,Jaipur,14
Customer Service,Customer Service Representative,543663,High School Diploma,Teleperformance,Ahmedabad,4
Customer Service,Customer Success Manager,1147075,Bachelor's Degree in Customer Success,Concentrix,Bangalore,17
Customer Service,Customer Service Representative,648501,Customer Service Training,Teleperformance,Ahmedabad,3
Customer Service,Customer Service Representative,606995,Customer Service Training,WNS Global Services,Chennai,19
Customer Service,Customer Service Representative,683014,Customer Service Training,HGS,Hyderabad,2
Customer Service,Customer Success Manager,1016676,Bachelor's Degree in Customer Success,Sitel,Jaipur,12
Customer Service,Customer Success Manager,652890,Bachelor's Degree in Customer Success,Teleperformance,Ahmedabad,14
Customer Service,Call Center Supervisor,538412,Call Center Management Certification,WNS Global Services,Jaipur,19
Customer Service,Call Center Supervisor,604100,Call Center Management Certification,Sitel,Lucknow,10
Customer Service,Customer Success Manager,1126433,Certification in Customer Success,Concentrix,Jaipur,2
Customer Service,Customer Service Representative,494762,Customer Service Training,HGS,Hyderabad,16
Customer Service,Customer Success Manager,655593,Bachelor's Degree in Customer Success,WNS Global Services,Jaipur,18
Customer Service,Customer Success Manager,778785,Certification in Customer Success,Teleperformance,Kolkata,3
Customer Service,Call Center Supervisor,896537,Bachelor's Degree,Teleperformance,Pune,7
Customer Service,Customer Service Representative,466587,Customer Service Training,Sitel,Jaipur,18
Customer Service,Customer Service Representative,675435,Customer Service Training,Sitel,Kolkata,7
Customer Service,Call Center Supervisor,605695,Bachelor's Degree,WNS Global Services,Delhi,5
Customer Service,Customer Service Representative,754593,High School Diploma,HGS,Hyderabad,5
Customer Service,Customer Success Manager,728921,Bachelor's Degree in Customer Success,Sitel,Bangalore,20
Customer Service,Customer Success Manager,958374,Bachelor's Degree in Customer Success,Sitel,Ahmedabad,9
Customer Service,Call Center Supervisor,840117,Bachelor's Degree,Teleperformance,Lucknow,5
Customer Service,Call Center Supervisor,950362,Bachelor's Degree,Concentrix,Kolkata,20
Customer Service,Customer Success Manager,1198910,Certification in Customer Success,HGS,Ahmedabad,0
Customer Service,Customer Service Representative,638962,Customer Service Training,WNS Global Services,Lucknow,20
Customer Service,Call Center Supervisor,814361,Bachelor's Degree,Teleperformance,Jaipur,4
Customer Service,Customer Success Manager,764214,Bachelor's Degree in Customer Success,Concentrix,Ahmedabad,20
Customer Service,Call Center Supervisor,647427,Bachelor's Degree,Sitel,Ahmedabad,7
Customer Service,Customer Service Representative,417900,High School Diploma,HGS,Bangalore,15
Customer Service,Customer Service Representative,453174,Customer Service Training,Concentrix,Bangalore,0
Customer Service,Customer Service Representative,474494,Customer Service Training,Concentrix,Jaipur,15
Customer Service,Customer Success Manager,1158086,Bachelor's Degree in Customer Success,HGS,Jaipur,15
Customer Service,Call Center Supervisor,550238,Bachelor's Degree,WNS Global Services,Kolkata,16
Customer Service,Customer Success Manager,1060303,Certification in Customer Success,Teleperformance,Ahmedabad,6
Customer Service,Call Center Supervisor,835000,Bachelor's Degree,Sitel,Chennai,17
Customer Service,Call Center Supervisor,875991,Call Center Management Certification,Sitel,Kolkata,3
Customer Service,Call Center Supervisor,649533,Call Center Management Certification,Sitel,Mumbai,7
Customer Service,Customer Service Representative,524802,Customer Service Training,Sitel,Chennai,17
Customer Service,Customer Service Representative,611344,Customer Service Training,Teleperformance,Pune,19
Customer Service,Call Center Supervisor,934794,Bachelor's Degree,HGS,Delhi,13
Customer Service,Customer Success Manager,1004113,Certification in Customer Success,HGS,Mumbai,4
Customer Service,Customer Success Manager,745054,Certification in Customer Success,Teleperformance,Delhi,17
Customer Service,Customer Service Representative,467385,Customer Service Training,WNS Global Services,Lucknow,5
Customer Service,Customer Success Manager,994216,Certification in Customer Success,Teleperformance,Pune,1
Customer Service,Customer Success Manager,896117,Bachelor's Degree in Customer Success,WNS Global Services,Mumbai,0
Customer Service,Call Center Supervisor,926435,Bachelor's Degree,WNS Global Services,Ahmedabad,20
Customer Service,Call Center Supervisor,816097,Bachelor's Degree,Sitel,Delhi,20
Customer Service,Call Center Supervisor,854490,Bachelor's Degree,Teleperformance,Pune,19
Customer Service,Customer Service Representative,676294,High School Diploma,WNS Global Services,Hyderabad,7
Customer Service,Customer Service Representative,435422,High School Diploma,Teleperformance,Kolkata,6
Customer Service,Customer Service Representative,594168,Customer Service Training,Teleperformance,Mumbai,13
Customer Service,Call Center Supervisor,750263,Call Center Management Certification,Teleperformance,Bangalore,1
Customer Service,Customer Service Representative,791603,Customer Service Training,HGS,Pune,3
Customer Service,Call Center Supervisor,841835,Bachelor's Degree,HGS,Jaipur,17
Customer Service,Customer Service Representative,745075,Customer Service Training,Sitel,Delhi,20
Customer Service,Customer Service Representative,436305,High School Diploma,WNS Global Services,Bangalore,3
Customer Service,Call Center Supervisor,556401,Call Center Management Certification,Concentrix,Chennai,19
Customer Service,Call Center Supervisor,863653,Call Center Management Certification,Teleperformance,Lucknow,11
Customer Service,Customer Service Representative,412689,High School Diploma,Concentrix,Ahmedabad,12
Customer Service,Call Center Supervisor,832954,Call Center Management Certification,Sitel,Bangalore,20
Customer Service,Call Center Supervisor,954026,Call Center Management Certification,WNS Global Services,Jaipur,4
Customer Service,Call Center Supervisor,704995,Bachelor's Degree,Concentrix,Mumbai,5
Customer Service,Customer Service Representative,516806,Customer Service Training,Sitel,Ahmedabad,3
Customer Service,Customer Service Representative,667974,High School Diploma,Teleperformance,Kolkata,10
Customer Service,Call Center Supervisor,922146,Call Center Management Certification,Teleperformance,Ahmedabad,14
Customer Service,Customer Success Manager,1034080,Bachelor's Degree in Customer Success,Concentrix,Ahmedabad,9
Customer Service,Customer Service Representative,672994,High School Diploma,WNS Global Services,Chennai,2
Customer Service,Customer Service Representative,666872,Customer Service Training,Concentrix,Mumbai,7
Customer Service,Customer Service Representative,514106,High School Diploma,WNS Global Services,Ahmedabad,16
Customer Service,Call Center Supervisor,935648,Call Center Management Certification,WNS Global Services,Delhi,1
Customer Service,Call Center Supervisor,641688,Bachelor's Degree,Teleperformance,Pune,7
Customer Service,Customer Success Manager,953532,Certification in Customer Success,Teleperformance,Chennai,4
Customer Service,Customer Success Manager,1083495,Certification in Customer Success,WNS Global Services,Ahmedabad,16
Customer Service,Customer Success Manager,709620,Certification in Customer Success,HGS,Ahmedabad,17
Customer Service,Call Center Supervisor,977384,Bachelor's Degree,Concentrix,Ahmedabad,17
Customer Service,Call Center Supervisor,723820,Call Center Management Certification,HGS,Hyderabad,14
Customer Service,Call Center Supervisor,754602,Bachelor's Degree,WNS Global Services,Jaipur,2
Customer Service,Customer Success Manager,861440,Certification in Customer Success,WNS Global Services,Hyderabad,16
Customer Service,Call Center Supervisor,525344,Bachelor's Degree,WNS Global Services,Delhi,0
Customer Service,Customer Service Representative,511927,Customer Service Training,Sitel,Bangalore,1
Customer Service,Customer Success Manager,771111,Certification in Customer Success,Concentrix,Jaipur,12
Customer Service,Customer Service Representative,475519,Customer Service Training,WNS Global Services,Ahmedabad,1
Customer Service,Customer Success Manager,915159,Certification in Customer Success,Sitel,Mumbai,15
Customer Service,Customer Service Representative,746252,Customer Service Training,WNS Global Services,Bangalore,7
Finance,Financial Advisor,445788,Certified Financial Planner (CFP),SBI,Jaipur,4
Finance,Investment Analyst,807303,Master of Business Administration (MBA),HDFC Bank,Hyderabad,1
Finance,Accountant,1371311,Bachelor's Degree in Accounting,Axis Bank,Lucknow,16
Finance,Accountant,1148479,Certified Public Accountant (CPA),Kotak Mahindra Bank,Delhi,13
Finance,Financial Analyst,780545,Bachelor's Degree in Finance,Axis Bank,Jaipur,19
Finance,Financial Analyst,595874,Bachelor's Degree in Finance,SBI,Hyderabad,0
Finance,Investment Analyst,737853,Master of Business Administration (MBA),ICICI Bank,Pune,17
Finance,Financial Advisor,479182,Certified Financial Planner (CFP),SBI,Jaipur,2
Finance,Actuary,1534196,Bachelor's Degree in Actuarial Science,ICICI Bank,Pune,0
Finance,Actuary,1318186,Bachelor's Degree in Actuarial Science,Kotak Mahindra Bank,Mumbai,3
Finance,Financial Advisor,338464,Bachelor's Degree in Finance,SBI,Pune,0
Finance,Financial Advisor,424960,Bachelor's Degree in Finance,Kotak Mahindra Bank,Mumbai,16
Finance,Actuary,1026215,Associate of Society of Actuaries (ASA),Axis Bank,Hyderabad,7
Finance,Financial Advisor,579883,Bachelor's Degree in Finance,Axis Bank,Mumbai,19
Finance,Accountant,980715,Bachelor's Degree in Accounting,HDFC Bank,Jaipur,7
Finance,Investment Analyst,1158992,Bachelor's Degree in Economics,Axis Bank,Pune,10
Finance,Financial Advisor,436040,Certified Financial Planner (CFP),Axis Bank,Ahmedabad,19
Finance,Financial Analyst,433386,Chartered Financial Analyst (CFA),ICICI Bank,Lucknow,14
Finance,Investment Analyst,839181,Bachelor's Degree in Economics,SBI,Bangalore,19
Finance,Accountant,1383628,Certified Public Accountant (CPA),HDFC Bank,Jaipur,19
Finance,Financial Advisor,323072,Certified Financial Planner (CFP),ICICI Bank,Hyderabad,16
Finance,Accountant,1425863,Certified Public Accountant (CPA),Kotak Mahindra Bank,Lucknow,4
Finance,Investment Analyst,807157,Bachelor's Degree in Economics,Axis Bank,Delhi,10
Finance,Financial Analyst,681627,Bachelor's Degree in Finance,Axis Bank,Ahmedabad,18
Finance,Financial Advisor,473409,Certified Financial Planner (CFP),Axis Bank,Ahmedabad,13
Finance,Investment Analyst,823110,Bachelor's Degree in Economics,HDFC Bank,Hyderabad,14
Finance,Financial Analyst,500245,Bachelor's Degree in Finance,ICICI Bank,Pune,14
Finance,Investment Analyst,806053,Bachelor's Degree in Economics,Axis Bank,Mumbai,9
Finance,Actuary,1507696,Associate of Society of Actuaries (ASA),HDFC Bank,Hyderabad,16
Finance,Investment Analyst,1158502,Master of Business Administration (MBA),Kotak Mahindra Bank,Chennai,9
Finance,Investment Analyst,778823,Master of Business Administration (MBA),ICICI Bank,Pune,19
Finance,Financial Analyst,420246,Bachelor's Degree in Finance,Axis Bank,Lucknow,1
Finance,Investment Analyst,976773,Master of Business Administration (MBA),HDFC Bank,Delhi,17
Finance,Actuary,1919969,Bachelor's Degree in Actuarial Science,ICICI Bank,Lucknow,20
Finance,Financial Analyst,441247,Bachelor's Degree in Finance,ICICI Bank,Mumbai,6
Finance,Investment Analyst,983716,Bachelor's Degree in Economics,HDFC Bank,Mumbai,18
Finance,Financial Analyst,719056,Chartered Financial Analyst (CFA),Axis Bank,Mumbai,8
Finance,Financial Analyst,761367,Bachelor's Degree in Finance,HDFC Bank,Delhi,16
Finance,Financial Advisor,449169,Bachelor's Degree in Finance,Axis Bank,Hyderabad,6
Finance,Investment Analyst,1096486,Bachelor's Degree in Economics,Kotak Mahindra Bank,Delhi,13
Finance,Financial Analyst,440577,Chartered Financial Analyst (CFA),Kotak Mahindra Bank,Kolkata,0
Finance,Financial Advisor,419238,Certified Financial Planner (CFP),Axis Bank,Jaipur,7
Finance,Financial Analyst,715978,Bachelor's Degree in Finance,Axis Bank,Delhi,13
Finance,Financial Analyst,657550,Bachelor's Degree in Finance,ICICI Bank,Jaipur,14
Finance,Investment Analyst,1060552,Bachelor's Degree in Economics,ICICI Bank,Chennai,11
Finance,Financial Analyst,550142,Bachelor's Degree in Finance,SBI,Mumbai,17
Finance,Investment Analyst,1085352,Master of Business Administration (MBA),Kotak Mahindra Bank,Hyderabad,3
Finance,Accountant,1190848,Bachelor's Degree in Accounting,Kotak Mahindra Bank,Jaipur,9
Finance,Investment Analyst,1129277,Master of Business Administration (MBA),Axis Bank,Jaipur,11
Finance,Financial Advisor,304220,Certified Financial Planner (CFP),Kotak Mahindra Bank,Lucknow,10
Finance,Accountant,1032136,Bachelor's Degree in Accounting,Axis Bank,Bangalore,5
Finance,Investment Analyst,939175,Bachelor's Degree in Economics,HDFC Bank,Delhi,11
Finance,Financial Advisor,465569,Bachelor's Degree in Finance,Axis Bank,Ahmedabad,4
Finance,Investment Analyst,732138,Master of Business Administration (MBA),Kotak Mahindra Bank,Kolkata,19
Finance,Actuary,1123878,Associate of Society of Actuaries (ASA),SBI,Lucknow,4
Finance,Accountant,1230485,Bachelor's Degree in Accounting,SBI,Jaipur,16
Finance,Financial Advisor,520203,Certified Financial Planner (CFP),Axis Bank,Ahmedabad,18
Finance,Actuary,1897120,Associate of Society of Actuaries (ASA),Kotak Mahindra Bank,Mumbai,7
Finance,Financial Analyst,486891,Bachelor's Degree in Finance,ICICI Bank,Chennai,17
Finance,Accountant,1164551,Certified Public Accountant (CPA),HDFC Bank,Bangalore,4
Finance,Accountant,943536,Certified Public Accountant (CPA),Axis Bank,Delhi,4
Finance,Accountant,1266743,Bachelor's Degree in Accounting,ICICI Bank,Mumbai,16
Finance,Actuary,1792876,Associate of Society of Actuaries (ASA),ICICI Bank,Jaipur,11
Finance,Financial Advisor,554566,Certified Financial Planner (CFP),HDFC Bank,Jaipur,11
Finance,Financial Analyst,703382,Chartered Financial Analyst (CFA),SBI,Chennai,6
Finance,Financial Analyst,670168,Chartered Financial Analyst (CFA),Axis Bank,Ahmedabad,16
Finance,Financial Advisor,468531,Bachelor's Degree in Finance,HDFC Bank,Delhi,16
Finance,Actuary,1381172,Associate of Society of Actuaries (ASA),ICICI Bank,Mumbai,15
Finance,Actuary,1419051,Associate of Society of Actuaries (ASA),Axis Bank,Hyderabad,19
Finance,Accountant,1466739,Certified Public Accountant (CPA),Axis Bank,Chennai,10
Finance,Accountant,1425498,Bachelor's Degree in Accounting,ICICI Bank,Pune,2
Finance,Investment Analyst,997824,Master of Business Administration (MBA),SBI,Lucknow,11
Finance,Accountant,1199822,Bachelor's Degree in Accounting,Axis Bank,Chennai,4
Finance,Actuary,1806747,Bachelor's Degree in Actuarial Science,SBI,Ahmedabad,8
Healthcare,Medical Sales Representative,770221,Sales Training Certification,Apollo Hospitals,Jaipur,5
Healthcare,Medical Sales Representative,733407,Bachelor's Degree in Life Sciences,Columbia Asia Hospitals,Mumbai,7
Healthcare,Medical Sales Representative,596121,Bachelor's Degree in Life Sciences,Manipal Hospitals,Lucknow,1
Healthcare,Medical Laboratory Technician,429601,Associate Degree in Medical Laboratory Technology,Max Healthcare,Delhi,17
Healthcare,Registered Nurse,1759182,Bachelor of Science in Nursing (BSN),Manipal Hospitals,Pune,17
Healthcare,Healthcare Administrator,656108,Healthcare Administration Certification,Columbia Asia Hospitals,Bangalore,3
Healthcare,Pharmacist,480450,Pharmacy License,Max Healthcare,Mumbai,6
Healthcare,Registered Nurse,1282504,Bachelor of Science in Nursing (BSN),Manipal Hospitals,Lucknow,4
Healthcare,Medical Sales Representative,656349,Sales Training Certification,Columbia Asia Hospitals,Lucknow,0
Healthcare,Registered Nurse,1779903,Registered Nurse (RN) License,Max Healthcare,Delhi,9
Healthcare,Medical Laboratory Technician,567412,Certification as a Medical Laboratory Technician,Columbia Asia Hospitals,Mumbai,6
Healthcare,Healthcare Administrator,937032,Master of Health Administration (MHA),Apollo Hospitals,Ahmedabad,8
Healthcare,Medical Sales Representative,791537,Sales Training Certification,Columbia Asia Hospitals,Chennai,8
Healthcare,Registered Nurse,1647883,Bachelor of Science in Nursing (BSN),Columbia Asia Hospitals,Hyderabad,16
Healthcare,Medical Sales Representative,744009,Bachelor's Degree in Life Sciences,Max Healthcare,Ahmedabad,4
Healthcare,Medical Laboratory Technician,515284,Certification as a Medical Laboratory Technician,Max Healthcare,Mumbai,3
Healthcare,Registered Nurse,1510787,Bachelor of Science in Nursing (BSN),Max Healthcare,Ahmedabad,2
Healthcare,Healthcare Administrator,956537,Master of Health Administration (MHA),Manipal Hospitals,Lucknow,19
Healthcare,Medical Sales Representative,662244,Sales Training Certification,Apollo Hospitals,Delhi,9
Healthcare,Medical Laboratory Technician,437125,Associate Degree in Medical Laboratory Technology,Columbia Asia Hospitals,Jaipur,15
Healthcare,Medical Sales Representative,532523,Bachelor's Degree in Life Sciences,Max Healthcare,Lucknow,20
Healthcare,Pharmacist,426511,Doctor of Pharmacy (Pharm.D.),Columbia Asia Hospitals,Kolkata,0
Healthcare,Medical Sales Representative,737997,Bachelor's Degree in Life Sciences,Max Healthcare,Hyderabad,4
Healthcare,Medical Laboratory Technician,493425,Certification as a Medical Laboratory Technician,Apollo Hospitals,Bangalore,9
Healthcare,Pharmacist,373233,Pharmacy License,Max Healthcare,Kolkata,2
Healthcare,Medical Sales Representative,606381,Sales Training Certification,Max Healthcare,Bangalore,18
Healthcare,Medical Laboratory Technician,541687,Certification as a Medical Laboratory Technician,Columbia Asia Hospitals,Jaipur,15
Healthcare,Medical Sales Representative,739461,Sales Training Certification,Max Healthcare,Lucknow,4
Healthcare,Medical Sales Representative,618333,Bachelor's Degree in Life Sciences,Columbia Asia Hospitals,Jaipur,13
Healthcare,Healthcare Administrator,1192488,Healthcare Administration Certification,Max Healthcare,Lucknow,5
Healthcare,Healthcare Administrator,988724,Master of Health Administration (MHA),Apollo Hospitals,Hyderabad,6
Healthcare,Registered Nurse,1252607,Registered Nurse (RN) License,Columbia Asia Hospitals,Hyderabad,20
Healthcare,Medical Sales Representative,613619,Sales Training Certification,Manipal Hospitals,Bangalore,11
Healthcare,Healthcare Administrator,1140576,Healthcare Administration Certification,Fortis Healthcare,Kolkata,17
Healthcare,Medical Sales Representative,583969,Sales Training Certification,Columbia Asia Hospitals,Mumbai,11
Healthcare,Medical Laboratory Technician,524634,Associate Degree in Medical Laboratory Technology,Fortis Healthcare,Chennai,13
Healthcare,Medical Laboratory Technician,471460,Certification as a Medical Laboratory Technician,Fortis Healthcare,Pune,9
Healthcare,Pharmacist,240813,Pharmacy License,Max Healthcare,Kolkata,14
Healthcare,Healthcare Administrator,700331,Master of Health Administration (MHA),Manipal Hospitals,Kolkata,14
Healthcare,Registered Nurse,1730326,Bachelor of Science in Nursing (BSN),Manipal Hospitals,Kolkata,3
Healthcare,Medical Laboratory Technician,506810,Associate Degree in Medical Laboratory Technology,Columbia Asia Hospitals,Lucknow,20
Healthcare,Medical Sales Representative,724968,Sales Training Certification,Manipal Hospitals,Jaipur,4
Healthcare,Medical Sales Representative,746962,Bachelor's Degree in Life Sciences,Columbia Asia Hospitals,Pune,1
Healthcare,Registered Nurse,1323856,Bachelor of Science in Nursing (BSN),Columbia Asia Hospitals,Hyderabad,6
Healthcare,Medical Sales Representative,732433,Bachelor's Degree in Life Sciences,Fortis Healthcare,Pune,17
Healthcare,Registered Nurse,1331403,Bachelor of Science in Nursing (BSN),Columbia Asia Hospitals,Mumbai,14
Healthcare,Healthcare Administrator,1160318,Master of Health Administration (MHA),Columbia Asia Hospitals,Delhi,5
Healthcare,Registered Nurse,1044875,Registered Nurse (RN) License,Manipal Hospitals,Chennai,20
Healthcare,Registered Nurse,1255360,Bachelor of Science in Nursing (BSN),Columbia Asia Hospitals,Pune,15
Healthcare,Pharmacist,327091,Pharmacy License,Columbia Asia Hospitals,Chennai,2
